article_id,title,subtitle,category,category_slug,reporter,published_at,url,image_url,content,crawled_at
11480509,“요즘 ‘관심사병’ 취급받는 김대리 늘고 있다던데”…ADHD의 진실 살펴보니 [사이언스라운지],,IT,it,이새봄 기자lee.saebom@mk.co.kr,2025-12-05T18:00:00+09:00,https://www.mk.co.kr/news/it/11480509,https://pimg.mk.co.kr/news/cms/202511/30/news-p.v1.20251127.74cab13b86654b55ac0c14e0c151c5d3_R.png,"사진 확대
[사진=픽사베이]
“이거 완전 내 얘기인데?”
유튜브 쇼츠나 틱톡을 넘기다 보면 1분 남짓한 영상 속 체크리스트에 멈칫하게 된다. 물건을 자주 잃어버리고, 대화 중 딴생각을 하며, 가만히 있지 못하는 모습들. 댓글창에는 “나도 성인 ADHD인 것 같다”는 고백이 줄을 잇는다. 과거 산만한 남자 초등학생의 전유물로 여겨지던 ‘주의력결핍과잉행동장애(ADHD)’는 이제 남녀노소를 불문한 ‘현대인의 질병’으로 떠올랐다.
실제 ADHD 환자의 증가세는 통계가 말해주고 있다. 미국에서는 지난해 기준 어린이의 약 11%가 ADHD 진단을 받았다. 2003년 8% 수준에서 크게 늘었다. 한 반의 정원이 18명에서 20명 정도인 초등학교를 생각해보면 한 반에 두명 정도는 ADHD를 갖고 있는 셈이다. 도대체 우리 뇌에서, 그리고 우리 사회에서 무슨 일이 벌어지고 있는 것일까. 최근 과학저널 ‘네이처(Nature)’는 이 같은 진단 폭증 현상을 집중 조명했다.",2025-12-06T02:01:33.817591
11480508,"두산, 하남시청 꺾고 2연승… 단숨에 3위로 도약",,IT,it,김용필 기자ypili@maekyung.com,2025-11-30T14:16:08+09:00,https://www.mk.co.kr/news/it/11480508,https://pimg.mk.co.kr/news/cms/202511/30/news-p.v1.20251130.468c368213584112b9dee937c56dcd91_R.jpg,"두산이 핵심 선수들의 고른 활약과 끈질긴 수비를 앞세워 하남시청을 제압하며 2연승을 달렸다. 전영제의 플레이메이킹과 김신학 골키퍼의 선방이 흐름을 견인했고, 이한솔·김준영의 득점까지 더해지며 두산은 개막 부진을 지우고 단숨에 상위권으로 올라섰다.
두산이 30일 인천 선학체육관에서 열린 신한 SOL Bank 25-26 핸드볼 H리그 남자부 1라운드 제4매치 데이 첫 경기에서 하남시청을 25-22로 꺾었다.
2연승을 기록한 두산은 2승 2패(승점 4점)로 3위에 올라섰고, 같은 승점을 기록한 하남시청은 승자 승에 따라 4위로 내려앉았다.
사진 확대
사진 두산 이성민이 하남시청 수비진을 피해 볼을 던지고 있다
경기의 주인공은 단연 전영제였다. 4골 7도움으로 팀 공격을 조율하며 경기 MVP에 선정됐고, 이한솔·김준영이 각 5골, 김신학 골키퍼가 12세이브로 뒤를 받쳤다.
하남시청은 이병주가 9골, 복귀전 치른 이현식이 4골, 박재용 골키퍼가 10세이브를 기록하며 분전했지만, 경기 흐름을 뒤집기에는 역부족이었다. 특히 박재용 골키퍼는 이 경기에서 통산 1,300세이브(역대 3호)라는 대기록을 달성했다.
두산은 경기 시작과 동시에 2골을 연달아 터뜨리며 분위기를 잡았다. 김신학 골키퍼의 선방과 수비 성공으로 5차례나 하남시청의 공격을 봉쇄했다. 하남시청은 9분이 지나서야 이병주가 연속 득점을 올리며 4-2로 추격했고, 이후 박재용 골키퍼의 선방 쇼가 이어지며 점수 차를 4-3까지 좁혔다.
전진 수비와 빠른 백코트를 앞세운 하남시청은 두 차례 연속 스틸에 성공해 분위기를 끌어올렸고, 21분경 6-6 동점을 만들며 균형을 되찾았다. 그러나 두 팀 모두 공격에서 결정력이 떨어지며 승부는 끝까지 팽팽했다.
전반 막판 하남시청 원승현이 2분간 퇴장당하며 두산이 수적 우위를 잡았지만, 박재용의 선방에 막혀 점수 차를 벌리지 못했다. 결국 양 팀은 마지막 공격도 살리지 못한 채 9-9 동점으로 전반을 마쳤다.
사진 확대
사진 경기 MVP 두산 전영제
후반 초반은 하남시청의 흐름이었다. 두산이 연달아 2분 퇴장을 받으면서 하남시청은 박재용의 선방, 이병주 속공 득점이라는 패턴으로 13-11, 두 골 차 리드를 잡았다. 여기에 김지훈의 득점까지 더해 흐름을 완전히 가져오는 듯했다.
하지만 두산은 흔들리지 않았다. 김준영과 정진호가 연속 득점을 기록하며 13-13 동점, 이어 하남시청 강석주·연민모의 2분 퇴장이 겹치며 두산에 기회가 열렸다.
수적 우위를 놓치지 않은 두산은 김준영의 슛과 정진호의 파고드는 득점으로 16-14 재역전에 성공했다. 그리고 결정적인 순간마다 김신학 골키퍼가 다시 빛났다.
김신학의 선방으로 얻어낸 역습 기회를 전영제가 침착하게 마무리하며 두산이 17-14까지 달아났다. 전영제는 이후에도 피벗 플레이와 날카로운 패스를 통해 공격 템포를 조율하며 팀을 이끌었다.
하남시청도 끝까지 추격했다. 이현식이 복귀 후 첫 필드골을 오버 슛으로 터뜨리며 17-18까지 추격하며 분위기가 잠시 살아나기도 했다.
그러나 두산은 피벗 중앙 플레이를 통해 확실한 찬스를 만들어냈고, 정우영 골키퍼가 경기 막판 이현식의 7m 드로를 막아내면서 사실상 승부의 쐐기를 박았다. 두산이 끝까지 리드를 지켜 25-22 승리로 경기를 마무리했다.
4골 7도움으로 팀 공격을 책임진 전영제는 MVP 수상 후 “주축 형들이 부상으로 빠져 젊은 선수들이 짧은 시간에 좋은 결과를 내서 기분 좋다. 팀원들이 도와줘서 MVP도 받을 수 있었다”며 “하남시청은 박재용 골키퍼가 잘 막기 때문에 슈팅·패스 연습을 철저히 준비했다. 오늘은 하고자 하는 의지가 강했고, 그래서 승리할 수 있었다”라고 말했다.
<사진 제공=한국핸드볼연맹>
[인천=김용필 MK스포츠 기자]",2025-12-06T02:01:34.567825
11480507,건강한 장수위해선 당장 냉장고에서 ‘이것’들 버려라 [지창대의 시니어 건강비책],,IT,it,지창대,2025-12-02T18:00:00+09:00,https://www.mk.co.kr/news/it/11480507,https://pimg.mk.co.kr/news/cms/202511/30/news-p.v1.20251104.cdf1cf9f683f486e9e27c7e937bb6322_R.jpg,"사진 확대
[출처:unsplash]
솔직히 고백하자면, 필자 역시 과거에는 아침 대용으로 ‘건강 시리얼’을 즐겨 먹었다. 통곡물, 저당, 비타민 첨가 같은 문구에 안심하며 우유에 말아 먹곤 했다. 하지만 영양학을 깊이 공부하고 성분표를 읽는 습관을 들인 후, 내가 먹던 것이 사실상 설탕 덩어리였다는 사실을 깨닫고 큰 충격을 받았다. 그 후로 만나는 회원님들께 꼭 식료품의 ‘성분표’를 읽는 습관의 중요성을 강조하게 되었다.
최근 만난 58세 이지현(가명)님 역시 과거의 필자와 비슷했다.
“선생님, 저는 몸에 좋다는 건 다 챙겨 먹어요. 아침엔 시리얼에 저지방 요거트, 오후엔 과일주스랑 에너지바도 먹고요. 그런데 왜 이렇게 피곤하고 살은 안 빠질까요?”
지현님은 누구보다 건강 관리에 열심이었다. 하지만 그녀의 식탁 위에는 건강이라는 가면을 쓴 ‘가짜 음식’들이 가득했다. 필자가 식단 상담 시 가장 먼저 쓰레기통에 버리라고 하는 것들이 바로 이런 가면을 쓴 음식들이다. 이지현 님은 스스로 건강을 해치고 있다는 사실조차 모르고 있었다. 이것이 바로 초가공식품(Ultra-processed foods)의 가장 무서운 점이다.",2025-12-06T02:01:35.778716
11480506,서울 고덕역·불광동 일대 도심공공주택복합지구 지정,,IT,it,한창호 기자han.changho@mk.co.kr,2025-11-30T14:12:52+09:00,https://www.mk.co.kr/news/it/11480506,https://pimg.mk.co.kr/news/cms/202511/30/news-p.v1.20251130.4a6f3f421a7c4d7d8924bf6d893d052c_R.png,"고덕역·연신내역 역세권
총 4156가구 공공주택 공급
사진 확대
서울 고덕역 인근 도심 공공주택 복합사업 위치도 [자료출처=국토교통부]
국토교통부가 서울 역세권 2곳을 공공주택 복합지구로 지정했다.
국토부는 고덕역 인근과 연신내역 역세권 2곳을 도심 공공주택 복합지구로 지정하고 총 4156가구 규모의 신규 주택을 공급한다고 30일 밝혔다.
도심 공공주택 복합사업은 도심 내 선호도 높은 지역에서 주택공급을 확대하기 위한 사업이다. 특히 민간 정비가 어려운 노후 도심에 공공이 주도해 용적률 등 혜택을 부여하고 주택을 공급하는 것이 목적이다.
이번에 지정된 복합지구는 고덕역 인근과 불광동 329-32번지 인근 2곳이다. 고덕역 인근 사업지는 지하철 5호선 고덕역과 접한 강동구 고덕동 307번지 일원에 위치해 있으며 총 6만678㎡ 면적에 총 2486가구를 공급한다. 공무원연금공단과 LH가 공동사업시행 방식으로 사업을 추진할 예정이다.
사진 확대
서울 불광동 329-32 인근 도심 공공주택 복합사업 위치도 [자료출처=국토교통부]
불광동 329-32번지 사업지는 지하철 3호선·6호선, GTX-A 연신내역 인근에 위치해 있다. 4만8859㎡의 면적에 1670가구의 주택을 공급하는 계획이다. 이 사업은 LH가 단독 시행으로 사업을 진행한다.
이번에 지정된 복합지구는 예정지구 지정 이후 주민 2/3 이상의 동의와 토지면적 1/2 이상의 동의를 확보하고 중앙도시계획위원회·중앙토지수용위원회 심의를 진행해 지구지정 절차를 완료했다. 이후 통합심의를 거쳐 2027년 복합사업계획을 승인받고 2030년 착공할 예정이다.
국토부는 지난 9·7 부동산대책에서 발표한 ‘주택공급 확대방안’을 통해 발표한 용적률 상향, 공원·녹지확보 의무 기준 완화 등 내용을 포함하는 ‘공공주택 특별법’ 시행령 개정안을 입법 예고 중에 있다. 내년 1월 시행할 수 있도록 신속하게 개정을 추진한다는 방침이다.
김배성 국토부 공공주택추진단장은 “주민들이 주택공급 성과를 체감할 수 있도록 주민 의견수렴을 강화하고 지자체·사업자와 적극 협조해 복합사업계획승인절차를 지원하겠다”며 “2030년까지 5만호 착공을 정상적으로 진행하기 위해 올해 말까지 4만8000호 이상 규모의 복합지구 지정을 추진할 계획”이라 밝혔다.",2025-12-06T02:01:39.725148
11480505,"다음주부터는 정말 겨울 날씨네…화요일부터 영하권, 건강관리 유의",,IT,it,이수민 기자lee.sumin2@mk.co.kr,2025-11-30T14:03:44+09:00,https://www.mk.co.kr/news/it/11480505,https://pimg.mk.co.kr/news/cms/202511/30/rcv.YNA.20251128.PYH2025112801640001300_R.jpg,"찬공기·강풍에 체감온도 ‘뚝’
사진 확대
28일 서울 종로구 광화문 세종대로사거리에서 출근길 시민들이 발걸음을 옮기고 있다. [연합뉴스]
12월의 첫날인 1일은 전국 곳곳에 구름이 많은 가운데 아침 기온이 평년과 비슷하거나 다소 높은 수준을 보이겠다. 반면 화요일인 2일부터는 북쪽에서 찬 공기가 내려오고 바람도 강하게 불면서 체감온도가 크게 낮아질 전망이다.
30일 기상청에 따르면 월요일인 1일 아침 최저 기온은 0~11도, 낮 최고기온은 7~16도로 예보됐다. 아침 기온은 평년과 비슷하거나 다소 높겠지만, 낮 기온은 평년 수준이거나 조금 낮을 것으로 보인다.
주요 도시별 아침 최저기온은 서울 3도, 강릉 7도, 대전 5도, 대구 7도, 광주 8도, 부산 11도, 제주 13도 등으로 예상된다. 낮 최고기온은 서울 8도, 강릉 13도, 대전 11도, 대구 13도, 광주 13도, 부산 16도, 제주 16도로 예보됐다.
1일 새벽에는 경기 내륙과 강원 영서 지역에 비가 내리겠다. 다만 강수 지속시간도 짧고, 대기 중에 포함된 수증기량이 적어 예상 강수량은 1㎜ 안팎으로 그칠 것으로 보인다. 제주도에도 새벽부터 아침 사이 0.1㎜ 미만의 빗방울이 떨어질 수 있다.
건조특보가 발효된 강원 동해안은 당분간 대기가 매우 건조하겠다. 강원 산지까지 건조한 날씨가 이어지며 산불 등 화재 예방에 주의가 필요하다.
2일부터는 북쪽에서 찬 공기가 내려오면서 본격적인 추위가 시작된다. 전국 대부분 지역의 아침 기온이 영하권까지 떨어지고, 바람도 강하게 불어 체감온도는 더욱 낮아지겠다. 낮은 기온으로 인한 건강관리에 유의해야 한다.",2025-12-06T02:01:40.384017
11480504,"코트라, 호치민서 ‘K-로봇관’ 운영···베트남 로봇시장 2030년까지 연 4%대 성장 기대",,IT,it,박승주 기자park.seungjoo@mk.co.kr,12.05 15:30,https://www.mk.co.kr/news/it/11480504,https://pimg.mk.co.kr/news/cms/202511/30/news-p.v1.20251130.7c88b89e7f0647e683aa23b4efb65a3b_R.jpg,"사진 확대
코트라는 한국로봇산업진흥원과 협력해 지난 27~29일 호치민 사이공 전시·컨벤션센터(SECC)에서 열리는 ‘베트남 국제 기계산업박람회(VINAMAC EXPO 2025)’와 연계해 ‘K-로봇관’을 공동 운영했다. 전시회장 내 ‘K-로봇관’의 모습 <코트라>
대한무역투자진흥공사(코트라)는 한국로봇산업진흥원과 함께 지난 27일부터 3일간 호치민 사이공전시·컨벤션센터(SECC)에서 열린 ‘베트남 국제기계산업박람회(VINAMAC)’에서 ‘K-로봇관’을 운영했다고 30일 밝혔다.
제22회 VINAMAC은 지난 2004년 시작된 베트남 대표 산업전시회다. 이번 전시회에는 한국을 비롯해 중국·인도 등 15개국에서 약 850개 기업이 참가해 산업기계·자동화·운송·제어·로봇 기술 분야에서 비즈니스 교류가 이뤄졌다.
K-로봇관에는 국내 혁신기업 23개사가 참여했다. 베트남 산업 자동화 기업들을 비롯해 현지 기업 60개사와 80건의 수출 상담을 진행했다.
베트남 로봇 시장은 제조업 확충과 자동화 수요로 꾸준한 성장세를 보이고 있다. 2024년 기준 3억~4억 달러 규모로 추산되며, 베트남 정부의 디지털 전환 정책, 외국인 투자(FDI) 증가, 인건비 상승으로 인해 2030년까지 연평균 4%대 성장이 기대된다. 특히 산업용 로봇을 중심으로 의료·물류·가정용 분야까지 활용이 확산되며 관련 시장이 빠르게 확대되고 있다.
최근 양국 간 고위급 교류에서도 AI·첨단산업 협력이 주요 의제로 다뤄지고 있다. 지난 8월 또 럼 베트남 서기장 방한, 11월 우원식 국회의장의 베트남 방문에서도 관련분야 협력 확대 의지가 강조됐다.
산업용 로봇 참가기업 U사 관계자는 “최근 동남아 국가들이 노동력 의존 산업구조에서 로봇, AI 융합 체제로 전환하는 추세로, 한국 기업들의 로봇 기술이 제조 고도화와 서비스 인력 부족 문제 해결에 기여할 수 있다”며 “앞으로도 많은 베트남 기업들과 폭넓은 협력을 희망한다”고 말했다.
구본경 코트라 동남아대양주지역본부장은 “정부의 ‘AI 3대 강국 도약’ 과제 추진 속에서 AI 접목 로봇 기업의 글로벌 진출을 지원할 수 있어 뜻깊다”며 “산업용 로봇과 첨단산업 분야에서 영향력을 확대 중인 베트남 기업과 협력을 통해 우리 로봇 기업이 베트남을 포함한 동남아 시장에 진출할 수 있도록 지원하겠다”고 강조했다.",2025-12-06T02:01:41.293549
11480503,매일 경제,,IT,it,양유라 기자,,https://www.mk.co.kr/news/it/11480503,https://wimg.mk.co.kr/news/cms/202511/30/news-p.v1.20251130.943f58eb52c9473b978b671f3af89222_P1.png,"쿠팡 3370만명 개인정보 유출
중국 국적 직원 해외로 떠나 수사 난항
사진 확대
쿠팡 차량. (사진=연합뉴스)
3000만명이 넘는 쿠팡 고객의 이름, 전화번호, 주소 등 개인정보가 외부 해킹이 아닌 내부자에 의해 유출된 것으로 확인됐다.
서울경찰청 사이버수사대는 지난 25일 쿠팡으로부터 고소장을 접수하고 본격적인 수사에 착수했다. 유출한 내부 직원이 중국 국적자이며 이미 퇴사 후 한국을 떠난 상태로 알려지면서 수사에 난항이 예상된다. 쿠팡이 제출한 고소장에는 피고소인을 특정하지 않은 ‘성명불상자’가 기재됐지만 쿠팡은 앞서 이번 유출이 외부 해킹이 아니라는 점을 시사했다.
쿠팡은 지난 20일 입장문에서 “고객 개인정보가 비인가 조회된 것이 확인됐다”며 “시스템 및 내부 네트워크망에 외부 침입 흔적은 없었다”고 밝혔다. 현재까지 파악된 유출 규모는 약 3370만 계정으로 국내 성인 4명 중 3명 정보가 노출된 셈이다. 사실상 쿠팡 전체 계정 수와 맞먹는 규모다.
유출 정보에는 고객 이름, 이메일, 전화번호, 주소, 일부 주문 정보 등이 포함된 것으로 조사됐다. 쿠팡은 침탈 시점이 지난 6월 24일로 시작된 것으로 보고 있다.
쿠팡은 당초 한국인터넷진흥원(KISA)에 신고하면서 정보 노출이 이달 6일 발생했고 18일에 이를 인지했다고 설명했다. 하지만 경찰청 등 관계 기관의 조사 과정에서 이미 6월부터 장기간 정보 유출이 진행됐다는 사실이 드러났다.
기존 대규모 정보 유출 사건인 SK텔레콤, KT, 싸이월드·네이트 사례가 대부분 해킹으로 인한 사고였던 것과 달리 이번 유출은 직원 소행으로 추정되면서 쿠팡의 내부 관리 허점이 드러났다는 비판이 나온다. 쿠팡의 이번 유출 규모는 2011년 약 3500만명 정보가 유출된 싸이월드·네이트 사태와 유사한 수준이다.
경찰 수사와 별개로 정부도 대응에 나섰다. 과학기술정보통신부는 민관합동조사단을 꾸려 사고 원인을 분석하고 재발 방지 대책 마련에 착수했으며 개인정보보호위원회 역시 20일과 29일 두 차례 유출 신고를 접수해 조사를 진행 중이다. 개인정보위는 개인정보보호법상 안전조치 의무 위반이 확인될 경우 엄정한 제재를 예고했다.",2025-12-06T02:01:41.769847
11480502,5분만에 뚫렸다 “멍청한 제미나이3”…레드팀 탈옥공격에 속수무책,,IT,it,정호준 기자jeong.hojun@mk.co.kr,2025-11-30T13:55:01+09:00,https://www.mk.co.kr/news/it/11480502,https://pimg.mk.co.kr/news/cms/202511/30/rcv.YNA.20251113.PRU20251113268501009_R.jpg,"AI 보안 스타트업 실험 5분 만에 뚫려
생화학 무기 만드는 법까지 알려줘
“모델에 대한 통제력 상실 가능성”
사진 확대
구글 제미나이 일러스트 [사진 = 로이터연합뉴스]
구글이 내놓은 첨단 인공지능(AI) 모델 ‘제미나이 3’가 우회 시도 시 생화학 무기 생성 정보를 알려주는 등 안전성 측면에서 취약점을 가진 것으로 드러났다. AI 성능이 인간을 넘어 빠르게 고도화될수록 이러한 악용의 결과물도 정교해지면서 위험이 커지고 있다는 분석이 나온다.
한국 인공지능(AI) 보안 스타트업 에임 인텔리전스가 구글이 이달 공개한 ‘제미나이 3 프로’를 대상으로 탈옥 공격을 시도한 결과, 5분 만에 구글의 안전 장치를 우회하는 데 성공했다. 탈옥은 취약점을 이용해 윤리적 지침을 우회하고, 제한된 조치를 수행하도록 만드는 것을 뜻한다.
이번 실험을 진행한 에임 인텔리전스는 AI 서비스에 최적화된 공격을 진행해 취약점을 찾는 ‘레드팀’에 특화된 기업이다.
실험 결과 에임 인텔리전스는 “거부 장치를 모두 우회해 제미나이가 천연두 바이러스를 생성하는 방법을 제공하도록 했다”라며 제미나이가 생성한 결과물이 매우 상세했고 실행 가능한 수준의 내용이었다고 설명했다. 제미나이는 수십줄에 걸쳐 제작 방법을 상세하게 설명해 준 것으로 나타났다.
이어서 연구팀이 제미나이에 보안 실패 상황을 풍자하는 프레젠테이션을 만들어달라 요청하자, 제미나이는 ‘탈옥당한 바보 제미나이 3’라는 제목의 자료를 생성하는 등 안전 장치가 무색한 수준의 모습을 보였다.
연구팀은 또한 제미나이의 코드 생성 기능을 활용해 사린 가스 제조법, 사제 폭발물 제조법 등의 위험 정보를 제공하는 웹사이트 코드를 제작하는 데에도 성공했다.
사진 확대
에임 인텔리전스가 구글의 최신 AI 모델 ‘제미나이 3’의 안전 장치를 우회한 다음 탈옥 당한 제미나이에 이를 희화화 하는 프레젠테이션을 만들어달라 하자, 제미나이가 제작해 제공한 이미지 모습 [출처 = 에임 인텔리전스 링크드인]
이러한 사태에 대해 AI 업계에서는 AI 모델의 성능 증가 속도를 방어 체계가 따라가지 못하면서 이같은 문제점들이 여전히 이어지고 있다고 보고 있다. 제미나이 3는 주요 지표에서 오픈AI의 GPT-5를 제친 현존 최강 모델임에도 이같이 수분만에 뚫릴 수 있는 수준의 안전 장치를 갖고 있는 것이다.
AI 기업 앤스로픽은 모델 성능에 따라 안전성 수준을 ASL-1(AI 안전성 레벨-1)부터 ASL-4까지 분류하고 있는데, 현재 모델 발전은 ‘ASL-3’ 단계로 평가되며 이는 확연히 더 큰 위험을 동반하는 단계다.
에임 인텔리전스 관계자는 “최근 모델들은 단순히 응답만 잘하는 게 아니라, 우회 전략·은닉 프롬프트 활용 등 능동적으로 회피하는 능력까지 갖고 있어서 대응이 더 어려워지고 있다”라며 “모든 모델이 공통적으로 겪는 문제다. 각 모델의 취약 지점을 종합적으로 이해하고 서비스 정책과 맞춰가는 것이 중요할 것”이라고 설명했다.",2025-12-06T02:01:42.413786
11480501,"기아, 2025 글로벌 PBV 컨버전 파트너스 데이 개최",,IT,it,한지연 기자han.jiyeon@mk.co.kr,12.05 15:30,https://www.mk.co.kr/news/it/11480501,https://pimg.mk.co.kr/news/cms/202511/30/news-p.v1.20251130.1e472b71b60b434e84dc10efeb82d675_R.jpg,"차량 제작 기술 지원 ‘PBV 컨버전 파트너십’
PV5 전시·시승···화성 EVO플랜트 견학
사진 확대
지난 25일~27일 진행된 ‘2025 글로벌 PBV 컨버전 파트너스 데이’에서 기아 PBV비즈니스사업부 김상대 부사장(첫줄 왼쪽에서 3번째)과 글로벌 특장업체 관계자들이 기념 촬영하는 모습. 기아
기아가 목적기반 모빌리티(PBV) 특화모델 개발에 참여할 국내외 기업 고객과의 협력을 확대한다.
기아는 지난 25일부터 27일까지 서울과 경기 일대에서 ‘2025 글로벌 PBV 컨버전 파트너스 데이’를 개최했다고 30일 밝혔다. 국내를 비롯해 유럽, 일본, 아프리카, 중동, 캐나다의 특장업체 관계자들과 기아 임직원 등 약 120명이 참가했다.
PBV 컨버전은 PBV를 플랫폼으로 활용해 고객의 목적과 용도에 맞는 특화모델을 개발·제작하는 것이다. 기아는 글로벌 특장업체와의 동반 성장을 목표로 ‘PBV 컨버전 파트너십’을 확대하기 위해 이번 행사를 기획했다.
PBV 컨버전 파트너십은 특장업체가 완성차 수준의 품질을 갖춘 다양한 특화모델을 생산할 수 있도록 기아가 차량 제작과 인증 관련 정보와 기술 지원을 제공한다. 또 소정의 절차를 거쳐 공식 파트너로 선정한다. 현재 국내 특장업체 10개사가 PBV 컨버전 파트너로 선정됐다. 기아는 유럽 특장업체 약 10개사를 비롯해 다른 지역에서도 파트너를 추가로 선정하면서 PBV 생태계를 활성화한단 방침이다.
기아는 이번 행사에서 참여 업체들을 상대로 PBV 사업 전략, 컨버전 파트너십 제도와 운영 방향을 설명하고, PBV 전용 공장인 오토랜드 화성 이보 플랜트(EVO Plant) 견학도 실시했다.
이와 함께 기아 최초의 PBV 특화 거점인 ‘PBV 익스피리언스 센터’에서 PV5 양산 모델, 차량의 뼈대인 샤시와 승객 탑승 공간(캡)으로만 구성된 샤시캡, 시트와 내장재(트림류) 같은 불필요한 부품을 미리 제거한 도너모델 등을 전시하며 시승을 진행했다.
기아 관계자는 “글로벌 PBV 컨버전 파트너스 데이를 매년 1회 정례적으로 운영하는 등 국내외 특장업체와의 협력을 강화해 글로벌 고객의 비즈니스 환경에 최적화된 차량과 서비스를 제공하겠다”고 밝혔다.",2025-12-06T02:01:43.147323
11480500,“상위팀 이점? 0.5골이라고 생각해” 이영민 부천 감독이 선수들에게 전한 메시지 [MK현장],,IT,it,김재호 기자greatnemo@maekyung.com,2025-11-30T13:54:49+09:00,https://www.mk.co.kr/news/it/11480500,https://pimg.mk.co.kr/news/cms/202512/04/news-p.v1.20251130.21d22835e1d24b07b5378fb342dcb00e_R.jpg,"비기기만 해도 승강플레이오프에 나갈 수 있는 유리한 상황, 이영민 부천FC 1995 감독은 이같은 이점에 대해 어떻게 생각하고 있을까?
이 감독은 30일 부천종합운동장에서 열리는 성남FC와 K리그2 플레이오프를 앞두고 가진 인터뷰에서 “선수들에게 0.5골이라고 이야기했다”며 상위팀으로서 가진 이점에 관해 말했다.
K리그2 플레이오프는 경기가 무승부로 끝날 경우 상위 팀이 올라가는 구조다. 상위팀에게 절대적으로 유리하다. K리그2 플레이오프의 경우 지난 2016년 부천이 강원에게 1-2로 패한 것을 마지막으로 모두 홈팀이 이겼다.
사진 확대
이영민 감독은 상위팀 이점에 대해 크게 의식하지 않고 있다. 사진 제공= 프로축구연맹
그러나 이날 부천은 준플레이오프에서 홈팀 서울이랜드를 꺾고 올라온 성남을 상대한다.
이 감독은 “0.5골이라는 의미는 경기가 끝나고 난 뒤에 그것을 활용할 수 있다는 뜻이다. 축구에는 판정승이 없지만, 0-0으로 끝났을 때는 판정승을 거둘 수 있지만 한 골을 먹으면 아무 의미가 없다는 뜻이다. 선수들에게도 주문했지만, 생각을 깔고 갈 필요는 없다고 생각한다. 괜히 생각하면 복잡해진다. 큰 의미없다고 생각한다”며 말을 이었다.
성남은 지난 경기 골을 기록한 후이즈가 경고누적으로 결장한다.
그는 후이즈의 경고누적을 알았을 때 생각을 묻자 “별 생각 없었다”고 잘라 말했다. “그날 경기 때 골이 터진 뒤 중계 화면에 내 얼굴이 찍혔다고 하는데 그 표정 그대로였다”며 말을 이었다.
그는 “후이즈가 빠졌다고 해서 성남이 그렇게 약한 팀이 될 거라고 생각하지 않는다. 다른 전략을 준비할 것이다. 우리가 해야 할 것을 더 많이 생각한 거 같다. 한편으로는 다른 선수를 우리가 대처해야 할 부분도 있을 거라 생각한다. 우리도 시즌 도중 경고누적으로 선수가 빠졌을 때 대처한 경우가 많았다”며 의식하지 않고 있음을 재차 강조했다.
사진 확대
부천은 이날 바사니를 비롯한 스리톱으로 경기를 치른다. 사진 제공= 프로축구연맹
이날 부천은 3-4-3 포메이션으로 경기를 치른다. 전방에 박창준 몬타뇨 바사니가 나오고 중원에 김규민 최재영 카즈 장시영, 수비에는 홍성욱 백동규 정호진이 나온다. 김형근이 골키퍼다.
박현빈이 벤치에 앉은 것과 관련해서는 “솔직히 활용을 못할 줄 알았다. 오늘 경기가 잘못되면 다음 경기가 없기에 의무팀에게 계속해서 신경을 많이 써달라고 했다. 피지컬 코치도 계속 붙어서 관리했다. 그렇기에 2, 30분이라도 도움이 될 거라 생각했다. 여기에 22세 이하 카드도 될 수 있다. 선수와도 많은 대화를 했지만, 선수도 출전 의지가 있었다. 시즌을 치르며 많은 역할을 해줬기에 감독으로서도 욕심이 났다”며 상황을 설명했다.
그는 “우리가 비교적 예산이 적은 팀이기에 선수들이 간절한 마음을 가지고 한 발 더 뛰다보니 성남같은 팀에게 쉽게 지지 않았다. 오늘도 마찬가지다. 조금이라도 그러지 못하면 운동장에서 무너진다고 생각하고 있다. 기존에 했던 그대로 그런 마음으로 해야만 이번 시즌 해왔던 모습을 보여줄 수 있을 것”이라며 선수들의 분발을 촉구했다.
[부천= 김재호 MK스포츠 기자]",2025-12-06T02:01:43.743654
