article_id,title,subtitle,category,category_slug,reporter,published_at,url,image_url,content,crawled_at
11484948,상장한지 이틀 만에 코스닥 시총 17위...‘따따블’ 이어 상한가 친 에임드바이오,,증권,stock,문가영 기자moon31@mk.co.kr,2025-12-05T11:08:59+09:00,https://www.mk.co.kr/news/stock/11484948,https://pimg.mk.co.kr/news/cms/202512/05/news-p.v1.20251205.a6e6b67edba2496e8d19438918b95626_R.jpg,"사진 확대
4일 서울 영등포구 한국거래소에서 열린 에임드바이오 코스닥시장 상장기념식. <사진=연합뉴스>
항체·약물 접합체(ADC) 전문 바이오 기업 에임드바이오가 코스닥 상장 둘째날 장 초반 상한가를 기록 중이다. 전일 대비 30% 오르며 시총이 코스닥 17위로 올라갔다.
5일 한국거래소에 따르면 에임드바이오는 이날 오전 11시 기준 전 거래일 대비 30.00% 오른 5만 7200원의 상한가에 거래되고 있다.
에임드바이오는 앞서 상장 첫날인 전날에는 ‘따따블’(공모가 대비 4배 상승)을 달성한 바 있다.
2018년 삼성서울병원에서 분사된 에임드바이오는 병원으로부터 암 환자의 실제 암조직을 제공받아 이를 기반으로 ADC 치료제를 개발 중이다.
회사의 핵심 기술은 ADC 개발 플랫폼 P-ADC로 현재까지 전임상 단계 ADC 3건 누적 3조원의 규모 기술 이전을 달성한 바 있다.",2025-12-05T17:12:26.023280
11484947,"보스턴, 피츠버그와 트레이드로 우완 선발 요한 오비에도 영입",,증권,stock,김재호 기자greatnemo@maekyung.com,2025-12-05T11:08:49+09:00,https://www.mk.co.kr/news/stock/11484947,https://pimg.mk.co.kr/news/cms/202512/05/news-p.v1.20251205.c9a107ad12ef441083f26dfbe3167c6d_R.jpg,"보스턴 레드삭스가 피츠버그 파이어리츠와 트레이드를 진행한다.
‘ESPN’ 등 현지 언론은 5일(한국시간) 소식통을 인용, 두 팀이 다섯 명의 선수가 연관된 트레이드에 합의했다고 전했다. 양 구단도 이를 공식 발표했다.
가장 중심이 되는 선수는 우완 선발 요한 오비에도(27)다. 메이저리그에서 5시즌 동안 81경기 등판, 15승 26패 평균자책점 4.24를 기록한 베테랑이다.
사진 확대
요한 오비에도가 보스턴으로 이적한다. 사진=ⓒAFPBBNews = News1
2023시즌 피츠버그에서 32경기 등판, 177 2/3이닝 소화하며 9승 14패 평균자책점 4.31 WHIP 1.373 9이닝당 1.0피홈런 4.2볼넷 8.0탈삼진 기록하며 풀타임 선발로 활약했다.
2024시즌은 토미 존 수술로 시즌 전체를 날렸고 2025년 복귀, 9경기에서 40 1/3이닝 던지며 평균자책점 3.57을 기록, 가능성을 보여줬다.
메이저리그 전문 기자 프랜시스 로메로는 오비에도가 리빌딩 팀을 벗어나 포스트시즌 경쟁팀에서 뛰게 됐으며 훈련 파트너이자 같은 쿠바 출신인 베테랑 아롤디스 채프먼과 다시 팀 동료가 됐다는 점에서 “이번 트레이드의 승자”라고 평했다.
피츠버그는 보스턴에 오비에도와 좌완 타일러 사마니에고(26), 포수 아도니스 구즈먼(22)을 내주는 대가로 외야수 조에스틴슨 가르시아(22)와 우완 헤수스 트라비에소(18)를 영입했다.
사진 확대
조에스틴슨 가르시아는 지난해 빅리그에 데뷔했다. 사진=ⓒAFPBBNews = News1
베네수엘라 출신인 가르시아는 지난 시즌 빅리그에 데뷔, 5경기에서 7타수 1안타 2볼넷 5삼진 기록했다. 같은 해 더블A와 트리플A에서는 114경기에서 타율 0.267 출루율 0.340 장타율 0.470 21홈런 75타점 기록하며 가능성을 보여줬다. 7월에는 퓨처스게임에도 출전했다. 메이저리그에서는 코너 외야로만 나섰지만, 마이너리그에서는 중견수로 218경기 출전한 경력도 갖고 있다.
사마니에고는 2021년 드래프트 15라운드 지명 선수다. 지난 시즌 루키 레벨부터 더블A까지 네 레벨에서 30경기 등판, 38 1/3이닝 던지며 평균자책점 3.99 WHIP 1.043 9이닝당 0.7피홈런 2.6볼넷 10.3탈삼진 기록했다.
구즈먼은 2025년 드래프트 5라운드 지명 선수다. 2025시즌 싱글A 1경기 출전했다.
트래비에소는 베네수엘라 출신으로 지난 시즌 루키레벨과 싱글A에서 19경기 등판, 64 2/3이닝 소화하며 평균자책점 3.06 WHIP 1.438 9이닝당 0.4피홈런 5.0볼넷 12.5탈삼진 기록했다.
[김재호 MK스포츠 기자]",2025-12-05T17:12:26.902137
11484946,"“기적같은 일”…걷기조차 힘들었는데, 5km 완주 ‘마라톤 영웅’ 이봉주",,증권,stock,이상규 기자boyondal@mk.co.kr,2025-12-05T11:08:47+09:00,https://www.mk.co.kr/news/stock/11484946,https://pimg.mk.co.kr/news/cms/202512/05/news-p.v1.20251205.7f3cd1fdd3fb466a9357b3fa1e9dcd91_R.png,"사진 확대
‘마라톤 영웅’ 이봉주가 5km 완주에 성공해 화제다. [사진출처 = 유튜브 영상 캡처]
난치병으로 걷기조차 힘들었던 ‘마라톤 영웅’ 이봉주가 가수 션과 함께 5km 달리기에 성공해 화제다.
션은 “기적같은 일”이라며 감동했다.
이봉주는 지난 3일 션의 유튜브 채널 ‘션과 함께’에 출연, 팬들 앞에서 건강해진 모습을 보여줬다.
이날 션은 지원자 20명과 함께 하루 10만보·100km 릴레이 도전에 나섰다. 이봉주는 그 지원자 중 한 명으로 5km 구간을 책임졌다.
지난주 베트남에서 10km 뛰고 왔다는 이봉주는 힘차게 달리기 시작했다. 불과 1~2년 전까지만 해도 지팡이 없이 걷기 힘들었던 이봉주였다.
그는 이날도 마라톤 선수 출신 답게 안정적인 페이스로 트랙을 돌며 꾸준하게 속도를 유지했다.
이를 지켜본 션은 “뛰는 걸 보면 많이 건강해지셨다”며 “전에 우리 채널에 나왔을 때만해도 걷기 위주였다. 현재는 4분대 페이스로 뛴다. 대단하다”고 감동했다.
5km를 완주한 이봉주는 “몸 상태가 많이 좋아지신 거냐”는 제작진 질문에 “조금씩 조금씩 좋아지고 있다”며 만족해 했다.
이에 션은 “내후년엔 보스턴마라톤에서 같이 뛰자, 제가 같이 뛰겠다”고 했고 이봉주는 “보스턴 좋다”고 답했다.
이봉주는 2001년 보스턴마라톤 우승자다.
2020년 근육긴장이상증 진단을 받은 이봉주는 고개가 90도로 꺾인 채 생활해야 했고 휠체어에 의존했지만 꾸준한 재활을 통해 다시 달릴 수 있을 정도로 건강을 회복했다.",2025-12-05T17:12:27.721200
11484944,"미·중 갈등 최대 수혜 기업? 중국의 ‘엔비디아 대항마’, 내년 생산량은…“",,증권,stock,이미연 기자enero20@mk.co.kr,2025-12-05T11:07:06+09:00,https://www.mk.co.kr/news/stock/11484944,https://pimg.mk.co.kr/news/cms/202512/05/news-p.v1.20251205.625b7603230b4aaeae8573800dc1163a_R.png,"캠브리콘, 최신칩 30만개 써
AI 가속기 50만대 출하 예정
사진 확대
캠브리콘의 AI칩 [캠브리콘 웹사이트 화면 캡처]
중국의 ‘엔비디아 대항마’로 꼽히는 캠브리콘이 내년 인공지능(AI) 반도체 생산량을 3배 이상으로 늘릴 계획이라는 보도가 나왔다.
4일(현지시간) 블룸버그 통신이 익명의 업계 소식통들을 인용한 보도에 따르면, 캠브리콘은 내년 50만여개의 ‘AI 가속기’(AI칩 시스템)를 출하할 준비를 하고 있다. 해당 제품에는 캠브리콘의 최신 AI 칩인 ‘시위안590’, ‘시위안690’ 30만여개가 들어갈 예정이다.
캠브리콘은 이번 생산과 관련해 중국 최대 파운드리(반도체 위탁생산) 기업인 SMIC(중신궈지)의 최신 7나노ｍ 공정인 ‘N+2’에 주로 의존할 것으로 알려졌다.
캠브리콘은 엔비디아처럼 반도체 및 시스템 설계만 하고 제조는 파운드리에 맡긴다.
블룸버그는 이번 증산의 경우 중국이 미국에 맞서 AI 기술 독립을 꾀하면서 중국 반도체 기업의 위상이 급부상하는 상황을 시사한다고 짚었다.
중국의 다른 대표 AI 칩 업체인 화웨이도 내년 고도 AI 칩의 생산량을 갑절로 올릴 예정이며, 엔비디아 중국 총괄을 지낸 장젠중이 창업한 AI 칩 스타트업 ‘무어스레드’는 5일 상하이 증시에 상장한다.
다만 캠브리콘과 SMIC는 이번 보도에 관한 논평을 묻는 요청에 응답하지 않았다. 캠브리콘은 자국 메신저 서비스 위챗에 올린 성명에서 ‘자사 제품, 고객, 생산량 예측치에 관해 현재 미디어에서 도는 정보는 모두 부정확하다’라고만 밝혔다.
캠브리콘의 약진은 미국 정부가 2022년부터 엔비디아 등의 고성능 AI 칩에 대해 대중국 수출을 규제한 것과 연관이 크다.
도널드 트럼프 미국 대통령은 H200 등 중국이 아직 생산하지 못하는 수준의 고성능 엔비디아 칩의 대중국 수출 허용 여부를 검토 중인 것으로 전해진다.
블룸버그는 캠브리콘이 미·중 대립 상황의 대표적 수혜 기업이라고 평했다. 캠브리콘은 올해 3분기에 매출이 14배로 뛰었고, 상장 다음 해인 2021년과 비교해 시가총액이 9배 이상 불어났다.
캠브리콘은 중국의 AI 대표주자 중 하나인 ‘틱톡’ 운영사 바이트댄스가 최대 고객으로, 전체 주문량에서 차지하는 비중이 50% 이상이다.
단 캠브리콘의 사업 확대에는 파운드리인 SMIC가 뜻밖의 걸림돌이 될 수도 있다고 블룸버그는 전했다. SMIC가 캠브리콘의 최신 AI 칩인 시위안590과 시위안690의 생산 수율을 아직 20%까지밖에 못 내고 있기 때문이다.
AI 칩 시스템의 필수 부품인 고대역메모리칩(HBM)의 수급도 SMIC의 고민거리다. 중국 업체들이 HBM 기술력이 부족한 탓에 삼성전자와 SK하이닉스 등 한국산 HBM에 의존하고 있어 관련 공급난 위험이 상존한다는 분석도 나온다.",2025-12-05T17:12:29.299537
11484943,매일 경제,,증권,stock,양유라 기자,,https://www.mk.co.kr/news/stock/11484943,https://wimg.mk.co.kr/news/cms/202512/05/news-p.v1.20251205.0707d0426a0f4a43be695c6246abac98_P1.png,"미래에셋 800억원 소각·키움도 동참
신영증권 30년간 한 번도 소각 안 해
민주당 ‘1년 내 의무 소각’ 법안 추진
사진 확대
서울 여의도 미래에셋증권. (사진=매경DB)
미래에셋증권과 키움증권 등 주요 증권사들이 잇달아 자사주 소각에 나서는 가운데 국내 증권사 가운데 가장 많은 자사주를 보유한 신영증권은 여전히 움직이지 않고 있다. 자사주 소각이 이뤄질 경우 오너 일가의 경영 구도가 흔들릴 수 있어서다.
5일 금융투자업계에 따르면 미래에셋증권은 이날 800억원 규모 자사주 500만주를 소각할 예정이다. 2030년까지 1억주 이상을 단계적으로 소각하겠다는 중장기 로드맵도 이미 제시한 바 있다. 이번 소각은 지난 8월 발표한 중장기 주주환원 정책의 일환이다. 당시 미래에셋증권은 2026년까지 매년 보통주 1500만주 이상, 2우선주 100만주 이상을 소각하고 2030년까지는 보통주와 2우선주를 합쳐 1억주 이상을 소각하겠다는 계획을 내놨다.
시장에서는 이번 조치가 주가에 긍정적 영향을 줄 것이란 기대가 크다. 자사주 소각이 완료되면 발행주식 수가 공식적으로 줄어들어 주당순이익(EPS), 주당배당금(DPS) 등 주요 재무지표가 개선되기 때문이다.
키움증권 역시 소각 속도를 높이고 있다. 올해 3월 105만주의 자사주 소각을 완료한 데 이어 내년 3월에는 기존 보유분 69만5345주와 올해 7월 취득한 20만5112주를 추가로 소각할 예정이다.
더불어민주당은 최근 ‘자기주식 1년 내 의무 소각’을 핵심으로 하는 상법 개정안을 연내 처리하겠다는 입장을 밝혔다. 그동안 자사주가 최대주주 지배력 강화 수단으로 악용됐다는 지적에 따라 이를 제도적으로 차단하겠다는 취지다. 법안이 통과되면 기업은 자사주 취득 후 1년 안에 반드시 소각해야 하며, 임직원 보상 등 예외적 사용을 위해서는 주주총회 승인 절차를 거쳐야 한다.
반면 신영증권은 1994년 첫 자사주 매입 이후 지금까지 단 한 차례도 자사주를 소각한 적이 없다. 현재 자사주 비중은 발행주식의 51.23%로 국내 증권사 중 가장 높다. 자사주를 제외하면 실질 유통 주식 수는 절반 수준에 그친다. 이는 오너 일가의 낮은 지분율(약 21%)을 보완해 온 사실상 ‘의결권 방어 장치’ 역할을 해왔다. 자사주는 의결권을 갖지 않지만 전체 유통 주식 수를 줄여 오너 일가 실질 지배력을 강화하는 효과를 낸다.
그러나 상법 개정으로 자사주 소각이 의무화될 경우 신영증권의 경영구도는 크게 흔들릴 수 있다. 보유한 842만주(51.23%)를 소각하면 발행주식 수는 줄지만 외부 주주의 지분 비중이 커지면서 경영권 방어가 어려워질 가능성이 높다.",2025-12-05T17:12:29.914013
11484942,‘100만 구독자’ 깨진 원지 “논란 이후 바로 재택근무 전환” 3차 사과 [MK★이슈],,증권,stock,손진아 기자jinaaa@mkculture.com,2025-12-05T11:05:34+09:00,https://www.mk.co.kr/news/stock/11484942,https://pimg.mk.co.kr/news/cms/202512/05/news-p.v1.20251205.f40d1590f0b04cbb8325c0030e2d8cb2_R.jpg,"여행 유튜버 원지(본명 이원지)가 창문 없는 지하 사무실 논란에 대해 또 한 번 사과했다.
원지는 지난 4일 자신의 유튜브 채널 ‘원지의 하루’를 통해 ‘안녕하세요. 이원지입니다’라는 제목의 영상을 게재했다.
어두운 표정으로 카메라 앞에 선 원지는 “사무실 논란과 관련해 많은 분들께 걱정과 심려를 끼쳐 진심으로 죄송하다”며 고개를 숙였다.
사진 확대
여행 유튜버 원지(본명 이원지)가 창문 없는 지하 사무실 논란에 대해 또 한 번 사과했다. 사진=ENA
여행 유튜버 원지(본명 이원지)가 창문 없는 지하 사무실 논란에 대해 또 한 번 사과했다.이어 “특히 환기의 중요성을 제가 그 누구보다 강조했는데, 그 부분을 신경을 쓰지 못해 팀원들에게 불편을 드린 부분 깊이 반성하고 있다”고 덧붙였다.
그는 “논란 이후 직원들이 재택근무로 전환했다. 그런데 최근에는 사무실에 직접 찾아오는 분들도 계시고 사실과 다른 부분이 기사화된 부분이 있어서 늦지 않게 설명해드려야 할 것 같아서 영상을 올리게 됐다”며 영상을 올리게 된 이유를 이야기했다.
특히 원지는 “명확하게 말씀드리고 싶은 부분은 한남동 사무실이 제 사무실이고, 소속사 대표가 남편이라는 기정사실화가 된 것 같다. 한남동 사무실은 저와 상관이 없는 곳이고, 소속사 대표도 제 남편이 아니고 친척도 아니다”고 강조했다.
그러면서 “규모가 크든 작든 대표로서의 부족함을 느끼고 있다”며 “쓴소리와 응원 모두 감사드린다. 할 수 있는 범위 안에서 하면서 욕심부리지 않고 잘해나가려고 한다”고 말했다.
앞서 원지는 최근 새 사무실을 소개하는 영상을 공개한 뒤 논란에 휩싸였다. 영상을 통해 그는 지하 2층에 있는 약 6평 규모의 창문 없는 사무실에서 직원 3~4명과 함께 업무를 보고 있는 일상을 공개했다.
그러나 이 같은 영상을 공개한 후 구독자들은 창문도 없는 지하 사무실의 열악한 근무 환경에 대해 지적과 비판을 쏟아냈고, 이를 인지한 원지는 해당 영상을 비공개 처리했다.
이후 두 차례 사과를 했지만 논란의 불씨는 쉽사리 꺼지지 않았다. 구독자들은 그동안 원지가 환기의 중요성을 강조해오고 좋은 공간에 개인 사무실을 따로 마련해두었다는 점 등을 꼬집으며 조금 다른 언행에 대해 실망한 태도를 보였다.
결국 사태는 구독자 이탈로 이어졌다. 약 102만 명의 구독자를 나타내던 채널은 논란의 영상이 공개된 이후 구독자가 꾸준히 이탈했고, 현재 해당 채널은 98.7만 명을 나타내고 있다.
[손진아 MK스포츠 기자]",2025-12-05T17:12:30.473992
11484941,“대치동 안 가도 된다”…호남 일반고서 수능 만점자 2명 배출,,증권,stock,송민섭 기자song.minsub@mk.co.kr,2025-12-05T11:03:34+09:00,https://www.mk.co.kr/news/stock/11484941,https://pimg.mk.co.kr/news/cms/202512/05/news-p.v1.20251205.a08e05de4556486aa0f9397755aa0289_R.jpg,"전북 8년 만의 만점
광주도 10년 만에 쾌거
사진 확대
2026학년 대학수학능력시험에서 만점을 기록한 광주서석고등학교 3학년 최장우 학생. [광주시교육청]
2026학년도 대학수학능력시험(수능)에서 전북과 광주 일반고 재학생이 나란히 만점을 받아 호남 교육계가 오랜만에 활기를 띠고 있다.
한국교육과정평가원에 따르면 올해 수능 만점자는 재학생 4명, 졸업생 1명 등 모두 5명으로 집계됐다. 이 가운데 재학생 만점자는 서울 광남고·세화고, 전북 전주한일고, 광주 서석고에서 각각 나왔다. 졸업생 1명은 서울과학고 출신으로 확인됐다.
사진 확대
2026학년도 대학수학능력시험에서 전주한일고에 재학 중인 이하진 군. [전북교육청]
전북에서는 전주한일고 3학년 이하진 군이 전 과목 만점을 기록했다. 전북에서 수능 만점자가 나온 것은 8년 만으로, 일반고 재학생이라는 점에서 의미가 크다는 평가다. 전북교육청은 “입학 당시 최상위권은 아니었지만 3년간 학업 관리를 꾸준히 이어온 점이 높은 성과로 이어졌다”고 설명했다.
광주에서는 서석고 최장우 군이 전 과목에서 만점을 받았다. 광주에서 일반고 재학생이 수능 만점을 기록한 것은 10년 만으로, 지역 교육계의 주목을 받고 있다. 최 군은 서울대 경제학과 수시전형 1차에 합격한 상태로 알려졌다.
교육계에서는 “수도권뿐 아니라 지역 일반고에서도 만점자가 나왔다는 점에서 의미 있는 흐름”이라며 “학교별 학습관리와 학생 개인의 꾸준함이 어우러진 결과”라고 분석하고 있다.",2025-12-05T17:12:31.117928
11484940,현대차 `지배구조 개편은 SW 디레이팅 해소의 초석` 증권사 발표에 강세…3.0%,,증권,stock,,2025-12-05T11:03:07+09:00,https://www.mk.co.kr/news/stock/11484940,https://static.mk.co.kr/facebook_mknews.jpg,"05일 현대차가 장초반 전일 대비 3.0% 상승하며 강세를 보이고 있다. 당일 DS투자증권 최태용 애널리스트는 '지배구조 개편은 SW 디레이팅 해소의 초석' 이라고 목표가를 430,000원으로 상향 조정한 바 있다.
DS투자증권은 지난 11월 04일 이 종목에 대해서 목표주가 330,000원을 제시했었다. 이 기간 동안 주가는 +5.48% 상승했지만, 목표주가는 더 큰 폭으로(+23.26%) 상향 조정되어 11월 04일 대비 투자 매리트가 증가했음을 알 수 있다.
<그래프>최근 1년 주가 및 목표가 추이
이날 DS투자증권 최태용 연구원은 현대차(005380)에 대해 ""현대차의 밸류에이션 디레이팅의 핵심 원인은 SW역량. 지배구조 개편은 그룹사의 SW 역량을 집중시켜 디레이팅 해소로 연결. 1H26 시장 저변 확대와 SW 기반 사업적 모멘텀에 주목할 시점"" 이라고 분석했다.
05일 09시 33분 현재 현대차(005380)는 전 거래일 대비 3.0%(1,000원) 상승한 292,000원에 거래되고 있다. 현재 주가를 기준으로 현대차는 최고 목표가 대비 47.3%의 상승여력이 있는 것으로 나타났다.
<그래프>최근 6개월 목표주가 컨센서스
[아이넷 AI 로봇 기자]
※ 이 기사는 매일경제신문과 금융 AI 전문기업 씽크풀이 공동 개발한 기사 자동생성 알고리즘에 의해 로봇 아이넷이 작성한 기사입니다.",2025-12-05T17:12:31.883738
11484939,"주식회사 비브로 일본법인 BARUDA, 한국고려인삼사와 전략적 인수합병",,증권,stock,남궁선희 기자namkung.sunhee@mkinternet.com,2025-12-05T11:30:00+09:00,https://www.mk.co.kr/news/stock/11484939,https://pimg.mk.co.kr/news/cms/202512/05/news-p.v1.20251205.3ca550b032ce4a0188b8f1a67d83608b_R.png,"사진 확대
< 출처 : 주식회사 한국고려인삼사 >
K-뷰티의 글로벌 확산을 선도하는 ‘주식회사 비브로(대표이사 신상현)’의 일본 현지법인 ‘주식회사 바르다(BARUDA)’가 일본 최대 화장품 유통사 중 하나인 ‘주식회사 한국고려인삼사(대표이사 김나윤)’와 전략적 인수합병을 추진하기로 하고 지난 11월 25일 인수합병 체결식을 진행했다.
비브로는 Qoo10 Japan과 같은 해외 e-커머스 플랫폼의 주문을 수집하고 수집된 주문의 자동 분류, 정확한 상품 선별 포장, 저렴하고 정확한 국제 운송 서비스로 브랜드사의 수출 프로세스 운영 대행을 주요 사업으로 하고 있다.
특히 비브로는 독자 개발한 AI 기술 기반의 국내 셀러와 해외 바이어를 자동 매칭하는 유통 플랫폼 ‘BUYSEL’과 수출 물류 관리를 위한 WMS·OMS 시스템으로 많은 브랜드사의 다양한 상품의 자동 주문 처리와 수출 상품의 입고부터 출고, 배송 확인 등 수출 전 과정을 통합 관리하는 시스템을 보유하고 있다.
주식회사 한국고려인삼사는 일본 내에서 30년 이상 사업 활동을 하며 한국 화장품과 이너케어 제품을 일본 전역에 공급하는 대형 유통기업이다. 한국고려인삼사는 Re:MAKE 직영샵을 일본 전역에서 운영하고 있으며, 1만 개 매장을 가진 ‘IDA RYOGOKUDO’, 2만5천 개 매장의 ‘ARATA’, 2만 개 매장의 ‘ALFRAESA’ 등 대형 유통 파트너사들을 통해 9000여 개 매장에 K-뷰티 브랜드 300여 개 이상을 라이센스 공급하고 있다. 또한 현재 1800여 개 오프라인 매장과 아마존·라쿠텐·Qoo10 등 주요 온라인 플랫폼을 통해 한국 화장품 유통을 주도하고 있다.",2025-12-05T17:12:32.528532
11484938,매일 경제,,증권,stock,이정선 기자,,https://www.mk.co.kr/news/stock/11484938,https://wimg.mk.co.kr/news/cms/202512/05/news-p.v1.20251205.6e8946eb71bb4af088b09a39c3713512_P1.png,"전날 급등에 따른 단기 조정 흐름 보여
차익 실현 매물로 일제히 하락세
사진 확대
가상화폐 이미지 (사진=뉴스1)
전일 9만4000달러까지 급등했던 비트코인이 일제히 하락세를 보이고 있다.
5일 오전 9시 40분 기준 글로벌 코인 시황 중계 사이트 코인마켓캡에 따르면, 비트코인은 24시간 전보다 0.02% 상승한 9만1970달러를 기록 중이다. 국내 원화 거래소 업비트에서는 같은 시각 1억3799만원을 지나고 있다.
가상화폐 시가총액 상위 종목들의 가격은 엇갈리고 있다. 우선 시총 2위 이더리움은 전일 대비 0.85% 하락한 3151달러에 거래되고 있으며, 시총 4위 리플(XRP)은 4.89% 급락한 2.1달러에 머무르고 있다.
솔라나는 3.45% 내린 140달러를 지나고 있으며 도지코인도 24시간 전보다 0.15% 낮은 가격으로 거래되고 있다.
이 같은 하락세는 전일 급등에 따른 차익 실현 매물 때문으로 해석된다. 전날 급등에 따른 단기 조정 흐름이 이어지는 가운데, 시장에서는 여전히 추가 상승을 예고하는 신호들이 포착되고 있다.
한편 글로벌 가상자산 데이터 조사 업체 얼터너티브(Alternative)에서 집계하는 ‘공포 및 탐욕 지수’는 이날 26점을 기록했다. 해당 점수는 ‘공포(Fear)’ 수준으로, 이 지수는 0에 가까울수록 극단적 공포를, 100에 가까울수록 극단적 낙관을 의미한다.",2025-12-05T17:12:33.099609
